Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
07:04:22:33.338,61,0.0903815404,0.4258651435,0.1616973579,0.0000000000,0.0000000000,0.0396365784,0.0000000000,0.0901529789,0.4279127717,0.0000000000,0.0320443101,0.0000000000,0.0396369249,0.0000000000,0.0098658558,0.0144832321,0.0000000000,0.0408886708,0.0420980155,0.0189994611,0.2350920439,0.0000000000,0.0047724666,0.0594058074,0.0722952262,0.0000000000,0.0000000000,0.0466861725,0.0512508191,0.1055352837,0.1063062325,0.0881628245,0.0168392304,0.2784242928,0.1723736376,0.0770724341,0.0749292746,0.0916729048,0.0924240574,0.0220763292,0.0242334623,0.4508090019,0.4504615068,0.1989602149,0.0000000000,0.0000000000,0.0319072269,0.0443281494,0.0518603101,0.1166430935,0.1201310828,0.0000000770,0.0648609847,0.0198238790,0.0219437610,0.0189097188,0.2614448667,0.0050593154,0.0954414457,0.2613633275,0.0254845973
07:04:22:34.339,61,0.0896873698,0.4237757325,0.1618139297,0.0000000000,0.0000000000,0.0399924926,0.0000000000,0.0894593596,0.4258171320,0.0000000000,0.0322041959,0.0000000000,0.0399928130,0.0000000000,0.0099535249,0.0143664861,0.0000000000,0.0410119295,0.0422113501,0.0192810502,0.2379725128,0.0000000000,0.0049198885,0.0594963469,0.0724685565,0.0000000000,0.0000000000,0.0468123294,0.0514177606,0.1056757942,0.1064718142,0.0889707431,0.0168693028,0.2895412743,0.1817080677,0.0824242309,0.0799029991,0.0923632458,0.0930609703,0.0222818144,0.0244639851,0.4877263010,0.4874233603,0.1968089491,0.0000000000,0.0000000000,0.0322114192,0.0446440093,0.0521915331,0.1205838174,0.1258891970,0.0000000457,0.0649641082,0.0203311276,0.0214296468,0.0190105643,0.2601650059,0.0050602304,0.0955427065,0.2600833178,0.0253808293
07:04:22:35.340,61,0.0892135650,0.4240880311,0.1617223322,0.0000000000,0.0000000000,0.0400941446,0.0000000000,0.0889901742,0.4261287749,0.0000000000,0.0321186557,0.0000000000,0.0400944240,0.0000000000,0.0100827180,0.0142132798,0.0000000000,0.0410076976,0.0421304479,0.0193816442,0.2273520529,0.0000000000,0.0050907922,0.0592744276,0.0724360868,0.0000000000,0.0000000000,0.0468986928,0.0515572540,0.1056160703,0.1064374372,0.0901892856,0.0169180315,0.2944008112,0.1853532195,0.0875443965,0.0854197666,0.0926220939,0.0932526737,0.0224024840,0.0246098395,0.4898219705,0.4895042479,0.1938652247,0.0000000000,0.0000000000,0.0323629081,0.0447848365,0.0522906706,0.1217189282,0.1275289804,0.0000000390,0.0647468865,0.0217054635,0.0202637762,0.0189591050,0.2603551745,0.0050503961,0.0954837874,0.2602736056,0.0253846422
07:04:22:36.340,61,0.0913832113,0.4241434336,0.1611812413,0.0000000000,0.0000000000,0.0403287783,0.0000000000,0.0911723748,0.4261739552,0.0000000000,0.0315507799,0.0000000000,0.0403289571,0.0000000000,0.0102602085,0.0141087873,0.0000000000,0.0411445387,0.0422328375,0.0197186302,0.2265578061,0.0000000000,0.0052498095,0.0591662116,0.0727032647,0.0000000000,0.0000000000,0.0472206995,0.0519709624,0.1060583815,0.1068674624,0.0981139019,0.0169981830,0.3039183319,0.1931452155,0.0923266783,0.0901053101,0.0957469791,0.0964366049,0.0226833336,0.0249346122,0.4942703843,0.4939524233,0.2007776350,0.0000000000,0.0000000000,0.0326521620,0.0451822132,0.0526808240,0.1239111871,0.1299827397,0.0000000031,0.0647514462,0.0230507646,0.0194525607,0.0186237674,0.2603811026,0.0049615968,0.0951635391,0.2602994144,0.0253024232
07:04:22:37.341,61,0.0915780962,0.4229444861,0.1595853716,0.0000000000,0.0000000000,0.0404054411,0.0000000000,0.0913732424,0.4249388576,0.0000000000,0.0299472753,0.0000000000,0.0404055379,0.0000000000,0.0103988433,0.0140128760,0.0000000000,0.0410946384,0.0421150252,0.0198252592,0.2247354984,0.0000000000,0.0053634425,0.0592178926,0.0730693564,0.0000000000,0.0000000000,0.0473763496,0.0521865226,0.1060232967,0.1068093181,0.1003943682,0.0170506407,0.3068462014,0.1957646459,0.0943664163,0.0921711624,0.0965021700,0.0971581265,0.0228350032,0.0251119919,0.4961411655,0.4958232045,0.1988644749,0.0000000000,0.0000000000,0.0327611677,0.0453507900,0.0527964383,0.1246557459,0.1307924539,0.0000000028,0.0642214045,0.0226149280,0.0192379244,0.0176808052,0.2596218884,0.0046960381,0.0942398235,0.2595401704,0.0249812081
07:04:22:38.342,61,0.0915909186,0.4226068854,0.1592993289,0.0000000000,0.0000000000,0.0405648500,0.0000000000,0.0913848504,0.4245943427,0.0000000000,0.0296755321,0.0000000000,0.0405648947,0.0000000000,0.0105001293,0.0139455851,0.0000000000,0.0410264730,0.0420132615,0.0199595317,0.2241352648,0.0000000000,0.0053998376,0.0593621880,0.0734398216,0.0000000000,0.0000000000,0.0475342013,0.0523949601,0.1060759202,0.1068447605,0.1013961807,0.0170759633,0.3079791665,0.1970279813,0.0954787508,0.0932868794,0.0969658718,0.0976004079,0.0229704026,0.0252700038,0.4971767366,0.4968580604,0.1973273307,0.0000000000,0.0000000000,0.0328872949,0.0454946905,0.0529132821,0.1250043064,0.1311547309,0.0000000028,0.0625232905,0.0232815035,0.0195280854,0.0175213441,0.2594107091,0.0046497304,0.0940760747,0.2593287528,0.0249167085
07:04:22:39.343,61,0.0893423557,0.4202227294,0.1590524614,0.0000000000,0.0000000000,0.0407216698,0.0000000000,0.0890484899,0.4221954644,0.0000000000,0.0295368582,0.0000000000,0.0407216921,0.0000000000,0.0105329398,0.0139817577,0.0000000000,0.0408522487,0.0418157317,0.0199881438,0.2237552553,0.0000000000,0.0052545341,0.0595694408,0.0738277063,0.0000000000,0.0000000000,0.0476056300,0.0524595305,0.1060322449,0.1066479310,0.1012993082,0.0170317143,0.3082416058,0.1977166981,0.0959758461,0.0937874690,0.0970094129,0.0975888819,0.0230799243,0.0253984742,0.4977773428,0.4974566102,0.1894301027,0.0000000000,0.0000000000,0.0329193920,0.0455583632,0.0529714115,0.1251758784,0.1313566715,0.0000000024,0.0620392300,0.0251316205,0.0206580423,0.0174462348,0.2579446733,0.0046024336,0.0939664543,0.2578627169,0.0247406773
07:04:22:40.343,61,0.0887792259,0.4189973474,0.1592730284,0.0000000000,0.0000000000,0.0410842225,0.0000000000,0.0884542614,0.4209697843,0.0000000000,0.0297633465,0.0000000000,0.0410842150,0.0000000000,0.0105151599,0.0140177878,0.0000000000,0.0404931232,0.0414254889,0.0198699199,0.2182818502,0.0000000000,0.0051198401,0.0594591089,0.0739729404,0.0000000000,0.0000000000,0.0475417189,0.0523692518,0.1059210524,0.1064214408,0.0992751569,0.0169403907,0.3023214936,0.1976792216,0.0958574489,0.0936708450,0.0951124132,0.0955586061,0.0230462365,0.0253706705,0.4936973751,0.4933950305,0.1738807112,0.0000000000,0.0000000000,0.0329160467,0.0455151200,0.0529073067,0.1247938350,0.1306447834,0.0000000014,0.0621574633,0.0286876000,0.0230130088,0.0175834801,0.2571965158,0.0046245684,0.0941152573,0.2571143806,0.0247045662
07:04:22:41.344,61,0.0864621401,0.4167439640,0.1589878052,0.0000000000,0.0000000000,0.0412607491,0.0000000000,0.0861423090,0.4187020659,0.0000000000,0.0294762067,0.0000000000,0.0412607305,0.0000000000,0.0104750562,0.0140831647,0.0000000000,0.0401117578,0.0410206206,0.0196947474,0.2135498822,0.0000000000,0.0048631607,0.0594450794,0.0741289109,0.0000000000,0.0000000000,0.0473416857,0.0521221310,0.1055782884,0.1059454530,0.0958622694,0.0168550033,0.2809100151,0.1897516698,0.0914246291,0.0896540657,0.0923927203,0.0926090032,0.0228951350,0.0252047051,0.4816676080,0.4813379645,0.1678670347,0.0000000000,0.0000000000,0.0328111164,0.0452940390,0.0526462346,0.1227457225,0.1277275980,0.0000000011,0.0631782487,0.0314278826,0.0251692869,0.0174201727,0.2558102906,0.0045558149,0.0939806029,0.2557280064,0.0245303791
07:04:22:42.344,61,0.0857124403,0.4166337550,0.1594922692,0.0000000000,0.0000000000,0.0413525775,0.0000000000,0.0853930339,0.4186011851,0.0000000000,0.0300008468,0.0000000000,0.0413525589,0.0000000000,0.0104213078,0.0141474819,0.0000000000,0.0397301614,0.0406050161,0.0194776021,0.2082022429,0.0000000000,0.0047357120,0.0595827661,0.0745316297,0.0000000000,0.0000000000,0.0471079424,0.0518496372,0.1051027775,0.1053487286,0.0937984362,0.0167801734,0.2744943202,0.1859061867,0.0898107737,0.0881523639,0.0905853584,0.0907310471,0.0227034092,0.0250044391,0.4731637537,0.4728415310,0.1632889509,0.0000000000,0.0000000000,0.0326536670,0.0450049564,0.0523229577,0.1213715896,0.1262768805,0.0000000006,0.0655320957,0.0359827727,0.0277956817,0.0177305136,0.2557500601,0.0046358258,0.0942803919,0.2556677759,0.0246023089
