Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
07:56:20:26.074,61,0.0458393954,0.4157593250,0.1200017184,0.0000000000,0.0000000000,0.0258543119,0.0000000000,0.0466403700,0.4169558883,0.0053322655,0.0000000000,0.0000000000,0.0258537736,0.0000000000,0.0124275275,0.0079748463,0.0000000000,0.0158511512,0.0125747686,0.0035232392,0.0560366586,0.0000000000,0.0094170915,0.0000000000,0.0035441329,0.0129622146,0.0000000000,0.0343084894,0.0357911699,0.0478380956,0.0464203730,0.0438865125,0.0130196111,0.1812149882,0.1391736865,0.1050407141,0.1067435220,0.0236946438,0.0223961622,0.0123259686,0.0138772316,0.1906168461,0.1905056983,0.0697485209,0.0000000000,0.0000000000,0.0142152281,0.0214285571,0.0224228464,0.0332130492,0.0349352509,0.0000000579,0.0748600364,0.2605907023,0.0384510830,-0.0031522086,0.2547051609,-0.0008207073,0.0709493756,0.2546277344,0.0184489246
07:56:20:27.074,61,0.0513172820,0.4235379398,0.1233652458,0.0000000000,0.0000000000,0.0258490629,0.0000000000,0.0519408323,0.4248153269,0.0019695703,0.0000000000,0.0000000000,0.0258485451,0.0000000000,0.0122363809,0.0077047348,0.0000000000,0.0158868134,0.0126923537,0.0035466498,0.0560958721,0.0000000000,0.0109915948,0.0000000000,0.0070785470,0.0113072358,0.0000000000,0.0340343900,0.0355336592,0.0478027053,0.0464845710,0.0432682820,0.0129417051,0.1938845366,0.1451011449,0.1270905286,0.1297354102,0.0240577869,0.0227577556,0.0123759741,0.0139579764,0.1741888076,0.1740575284,0.0751686618,0.0000000000,0.0000000000,0.0141240116,0.0216085203,0.0226143897,0.0333846025,0.0351381227,0.0000000739,0.0704899505,0.2633718848,0.0424241945,-0.0011628574,0.2595051229,-0.0003087289,0.0728468448,0.2594284713,0.0193147585
07:56:20:28.075,61,0.0527906045,0.4278966784,0.1286623925,0.0000000000,0.0000000000,0.0256896149,0.0000000000,0.0533775203,0.4292859435,0.0000000000,0.0033309581,0.0000000000,0.0256890655,0.0000000000,0.0119374674,0.0072992332,0.0000000000,0.0157964993,0.0127525572,0.0035539481,0.0559296086,0.0000000000,0.0119868107,0.0000000000,0.0155613422,0.0097177234,0.0000000000,0.0334594809,0.0349606387,0.0476048253,0.0464318842,0.0425034985,0.0127304774,0.1960870177,0.1462381184,0.1236563921,0.1249834597,0.0243026707,0.0230122171,0.0124368751,0.0140474010,0.2038625926,0.2037534714,0.0771554038,0.0000000000,0.0000000000,0.0140057197,0.0216728076,0.0226726439,0.0336819403,0.0354707800,0.0000000636,0.0704899505,0.2633718848,0.0424241945,0.0019652031,0.2622363567,0.0005274948,0.0759204626,0.2621601224,0.0203498099
07:56:20:29.076,61,0.0528507493,0.4336037338,0.1294239461,0.0000000000,0.0000000000,0.0252826065,0.0000000000,0.0532993004,0.4350219965,0.0000000000,0.0041556614,0.0000000000,0.0252820719,0.0000000000,0.0115236361,0.0070295287,0.0000000000,0.0155172739,0.0126515776,0.0035088810,0.0557530411,0.0000000000,0.0123507967,0.0000000000,0.0266421102,0.0055637592,0.0000000000,0.0310096238,0.0320452601,0.0467291549,0.0458294787,0.0373852104,0.0124025727,0.1713188291,0.1402512789,0.0762385130,0.0768119395,0.0240566190,0.0228030365,0.0123965833,0.0140098222,0.1812833846,0.1811815202,0.0743909851,0.0000000000,0.0000000000,0.0138260899,0.0214125831,0.0224026442,0.0337437838,0.0355178341,0.0000000594,0.0695709735,0.2681750059,0.0436840877,0.0024494422,0.2657406330,0.0006666832,0.0762979537,0.2656649351,0.0207373071
07:56:20:30.077,61,0.0534611270,0.4435182512,0.1319542378,0.0000000000,0.0000000000,0.0248705857,0.0000000000,0.0538540967,0.4450118542,0.0000000000,0.0067015621,0.0000000000,0.0248701125,0.0000000000,0.0111162188,0.0069423527,0.0000000000,0.0152057642,0.0125123225,0.0034531907,0.0559200048,0.0000000000,0.0121400421,0.0000000000,0.0300819781,0.0038698493,0.0000000000,0.0297475085,0.0303854644,0.0461590029,0.0452808701,0.0348781385,0.0120576890,0.1656211317,0.1387682706,0.0655321330,0.0658284798,0.0237475038,0.0225329418,0.0123904655,0.0140019702,0.1649479270,0.1647758633,0.0729697645,0.0000000000,0.0000000000,0.0136496667,0.0211308897,0.0221381281,0.0337702744,0.0355390236,0.0000000939,0.0684906393,0.2796112597,0.0416456535,0.0039434191,0.2718445063,0.0010992049,0.0776599050,0.2717697322,0.0216159318
07:56:20:31.078,61,0.0538900085,0.4335186481,0.1277039647,0.0000000000,0.0000000000,0.0248094350,0.0000000000,0.0542564914,0.4349032342,0.0000000000,0.0025446294,0.0000000000,0.0248090476,0.0000000000,0.0108481366,0.0070141917,0.0000000000,0.0149662467,0.0123739410,0.0034114644,0.0559574440,0.0000000000,0.0117055709,0.0000000000,0.0299173389,0.0032920321,0.0000000000,0.0290719178,0.0295553301,0.0457046442,0.0447801724,0.0336915925,0.0118592987,0.1728648841,0.1385114044,0.0807913616,0.0825870112,0.0233976711,0.0222009700,0.0123237660,0.0139161032,0.1593031138,0.1591160595,0.0684454441,0.0000000000,0.0000000000,0.0135532944,0.0209175646,0.0219404250,0.0337648131,0.0355306938,0.0000000711,0.0715147480,0.2878622413,0.0377688259,0.0014998926,0.2656675875,0.0004081198,0.0752851963,0.2655918598,0.0204567406
07:56:20:32.078,61,0.0528432056,0.4151757360,0.1333530843,0.0000000000,0.0000000000,0.0252899826,0.0000000000,0.0531844310,0.4166193902,0.0000000000,0.0084469328,0.0000000000,0.0252898410,0.0000000000,0.0110222483,0.0070032030,0.0000000000,0.0151143530,0.0124333771,0.0034183355,0.0558557957,0.0000000000,0.0112747746,0.0000000000,0.0000000000,0.0838661939,0.0536226556,0.0291593894,0.0295893010,0.0457674675,0.0447884127,0.0370546691,0.0120445164,0.2206200361,0.1599551290,0.1759286970,0.1788309366,0.0234623291,0.0222251359,0.0122884465,0.0138621768,0.1734986156,0.1731866151,0.0670432001,0.0000000000,0.0000000000,0.0136415493,0.0209795572,0.0219880231,0.0336753912,0.0354513116,0.0000001018,0.0731402561,0.2899774909,0.0349135362,0.0049937349,0.2545015812,0.0012990767,0.0788494647,0.2544243932,0.0204814933
07:56:20:33.078,61,0.0390106849,0.3896813989,0.1369228214,0.0000000000,0.0000000000,0.0260128491,0.0000000000,0.0396503024,0.3911171257,0.0000000000,0.0121120326,0.0000000000,0.0260129571,0.0000000000,0.0113304704,0.0069451248,0.0000000000,0.0153313996,0.0125207668,0.0034299877,0.0552512668,0.0000000000,0.0110194320,0.0000000000,0.0000000000,0.1044357717,0.0760524720,0.0293720737,0.0298218597,0.0459779836,0.0449959971,0.0389086939,0.0123135978,0.2310720086,0.1656795591,0.1976223290,0.2012145072,0.0235455688,0.0222601909,0.0122318501,0.0137911905,0.2169364095,0.2166871130,0.0657672659,0.0000000000,0.0000000000,0.0138008529,0.0210667048,0.0220690425,0.0335070342,0.0353139490,0.0000001224,0.0764167383,0.2896953821,0.0310245696,0.0071886461,0.2389261425,0.0017509854,0.0812775344,0.2388466001,0.0197662804
07:56:20:34.079,61,0.0349838622,0.3817933500,0.1361535043,0.0000000000,0.0000000000,0.0266041923,0.0000000000,0.0356946550,0.3831927180,0.0000000000,0.0112896552,0.0000000000,0.0266044363,0.0000000000,0.0117163481,0.0068956567,0.0000000000,0.0156232780,0.0126678105,0.0034723999,0.0548838116,0.0000000000,0.0108502991,0.0000000000,0.0000000000,0.0690032542,0.0405763015,0.0298082568,0.0303256623,0.0463451631,0.0453787930,0.0409452580,0.0126462970,0.2366624027,0.1689350754,0.1943746507,0.1982787699,0.0237084143,0.0223787259,0.0122009628,0.0137532428,0.2250314504,0.2248218805,0.0648719594,0.0000000000,0.0000000000,0.0140455225,0.0212205295,0.0222332980,0.0333806574,0.0352274030,0.0000000918,0.0787334442,0.2864874899,0.0295305587,0.0067083780,0.2340844572,0.0015996390,0.0809146985,0.2340041250,0.0192642920
07:56:20:35.080,61,0.0325872488,0.3834289014,0.1391361803,0.0000000000,0.0000000000,0.0271801129,0.0000000000,0.0333153531,0.3848850131,0.0000000000,0.0141687151,0.0000000000,0.0271804500,0.0000000000,0.0120356111,0.0068682921,0.0000000000,0.0158438180,0.0127249481,0.0034813108,0.0545209832,0.0000000000,0.0105795478,0.0000000000,0.0000000000,0.1040503159,0.0824139342,0.0303298607,0.0308986567,0.0466278940,0.0456484146,0.0420253202,0.0129162818,0.2395432889,0.1737250537,0.1972874850,0.2012241930,0.0237887502,0.0224170107,0.0121768648,0.0137192588,0.2325610369,0.2323394567,0.0641038120,0.0000000000,0.0000000000,0.0142667340,0.0213042963,0.0223026238,0.0332196243,0.0350889638,0.0000001061,0.0785826966,0.2829250693,0.0298035257,0.0084170494,0.2351213992,0.0020162947,0.0826673284,0.2350410968,0.0197709948
