Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
21:29:07:36.708,61,0.0001383124,0.1448356807,0.1998228282,0.0000000000,0.0000000000,0.3378768265,0.0600398295,0.0001395568,0.1458318233,0.0000000000,0.0606401637,0.0000000000,0.3340207338,0.0572182573,0.0468578711,0.0000000000,0.0602578931,0.1624683142,0.1920180470,0.0995221511,0.2005498558,0.0000000000,0.0904499814,0.1568893790,0.2638387680,0.0000000000,0.0000000000,0.0500215627,0.0553242601,0.1353078783,0.1629771590,0.1048621535,0.0621000677,0.1601970792,0.0963723734,0.0649606064,0.0566659905,0.1491123289,0.1894419193,0.0580651574,0.0806265399,0.2186003923,0.2190807760,0.1164033189,0.0000000000,0.0000000000,0.0327098705,0.3652287126,0.3887005448,0.3598075211,0.4220659435,0.0000000009,0.1729851514,0.0004276458,-0.2060938925,0.0368960164,0.0891444236,0.0032970542,0.1215850338,0.0891348496,0.0108390786
21:29:07:37.708,61,0.0001287832,0.1486202031,0.1839163899,0.0000000000,0.0000000000,0.3371455669,0.0590542592,0.0001299287,0.1495178342,0.0000000000,0.0444010645,0.0000000000,0.3331261575,0.0563254654,0.0466282777,0.0000000000,0.0605791062,0.1634204537,0.1925878823,0.1042007655,0.2006913424,0.0000000000,0.0861058831,0.1610342711,0.2634784579,0.0000000000,0.0000000000,0.0501033142,0.0552232005,0.1350300014,0.1623628736,0.1015423238,0.0619660094,0.1594494879,0.0961497650,0.0647345930,0.0563329831,0.1495314091,0.1897637546,0.0587051697,0.0808954313,0.2149734497,0.2153470516,0.1168383807,0.0000000000,0.0000000000,0.0323285460,0.3675424457,0.3886964917,0.3607230484,0.4212862551,0.0000000010,0.1738654375,0.0005947445,-0.2092694193,0.0270099863,0.0913686529,0.0024744507,0.1118835211,0.0913597196,0.0102284523
21:29:07:38.710,61,0.0001193194,0.1488901675,0.1853921115,0.0000000000,0.0000000000,0.3354880512,0.0589623936,0.0001203739,0.1498007923,0.0000000000,0.0458861850,0.0000000000,0.3312686384,0.0563120283,0.0464260280,0.0000000000,0.0608232617,0.1641126126,0.1931651831,0.1060523465,0.2006321847,0.0000000000,0.0828349814,0.1633570194,0.2630757093,0.0000000000,0.0000000000,0.0502348095,0.0551746152,0.1349303275,0.1619146168,0.1001136675,0.0619085692,0.1586377174,0.0958142728,0.0645022839,0.0559887290,0.1499219239,0.1900503337,0.0592596084,0.0810212269,0.2056159377,0.2058267593,0.1173529029,0.0000000000,0.0000000000,0.0320015438,0.3685372174,0.3878677189,0.3613720238,0.4197829664,0.0000000010,0.1738654375,0.0005947445,-0.2092694193,0.0279129706,0.0915438607,0.0025620845,0.1127795130,0.0915349647,0.0103298984
21:29:07:39.710,61,0.0001102384,0.1529010534,0.1876922101,0.0000000000,0.0000000000,0.3305790424,0.0574703626,0.0001112089,0.1538531035,0.0000000000,0.0480729565,0.0000000000,0.3264251947,0.0549315922,0.0463736206,0.0000000000,0.0608843341,0.1653285027,0.1937427819,0.1066525728,0.2006871253,0.0000000000,0.0818825141,0.1577442884,0.2571535707,0.0000000000,0.0000000000,0.0504619069,0.0553073920,0.1349483877,0.1617956012,0.0993786156,0.0621060096,0.1580130905,0.0954689682,0.0643550679,0.0557696037,0.1497724950,0.1897694916,0.0593484752,0.0808284879,0.2004765868,0.2006615251,0.1179270595,0.0000000000,0.0000000000,0.0318319201,0.3533491790,0.3707348704,0.3592323661,0.4142545462,0.0000000012,0.1736792922,0.0015946348,-0.2106617987,0.0292364638,0.0940238163,0.0027566536,0.1141527072,0.0940156281,0.0107400967
21:29:07:40.711,61,0.0001016822,0.1525339484,0.1655017436,0.0000000000,0.0000000000,0.3287192285,0.0800696760,0.0001025755,0.1533068717,0.0000000000,0.0258441679,0.0000000000,0.3245874941,0.0775947124,0.0464719981,0.0000000000,0.0608753078,0.1708368361,0.1947810352,0.1068708077,0.1991895437,0.0000000000,0.0808763206,0.1568594128,0.2557919025,0.0000000000,0.0000000000,0.0508900955,0.0556125976,0.1353581995,0.1619478911,0.0988218039,0.0628561080,0.1519599557,0.0936769024,0.0639251918,0.0553416088,0.1500211656,0.1898553669,0.0593209937,0.0804378092,0.1404613107,0.1408871114,0.1234539598,0.0000000000,0.0000000000,0.0317385122,0.3419435620,0.3551539481,0.3543548882,0.4013002217,0.0000000030,0.1744029969,0.0048080464,-0.2093180120,0.0157181211,0.0936614498,0.0014764402,0.1006592214,0.0936531201,0.0094384709
21:29:07:41.711,61,0.0000937015,0.1467241645,0.1581543535,0.0000000000,0.0000000000,0.3381966949,0.0876137018,0.0000945236,0.1474134177,0.0000000000,0.0188085716,0.0000000000,0.3339764774,0.0845170990,0.0465626605,0.0000000000,0.0612850785,0.1722637117,0.1949133724,0.1070260555,0.1991128027,0.0000000000,0.0920562223,0.1568011045,0.2656460702,0.0000000000,0.0000000000,0.0510700606,0.0557889082,0.1356589347,0.1629346609,0.0982006416,0.0629522502,0.1507161707,0.0935139805,0.0637424663,0.0551929399,0.1500321329,0.1898631305,0.0594208241,0.0806502029,0.1558413208,0.1569250375,0.1246913299,0.0000000000,0.0000000000,0.0317213312,0.3375674784,0.3518794775,0.3523900807,0.4010359645,0.0000000040,0.1727246791,0.0084083620,-0.2067859620,0.0114429472,0.0900556445,0.0010332739,0.0962220132,0.0900463611,0.0086743170
21:29:07:42.712,61,0.0000862998,0.1458275467,0.1679774970,0.0000000000,0.0000000000,0.3483222127,0.0867309943,0.0000870564,0.1465875655,0.0000000000,0.0287057087,0.0000000000,0.3441801071,0.0828016102,0.0465756916,0.0000000000,0.0616421625,0.1718472689,0.1934958845,0.1072074771,0.1992366314,0.0000000000,0.0949433222,0.1614653766,0.2754873633,0.0000000000,0.0000000000,0.0511849336,0.0559388846,0.1358407289,0.1635199338,0.0965617374,0.0626960695,0.1510299444,0.0943373516,0.0636128932,0.0551242419,0.1499266028,0.1896421760,0.0597396865,0.0813692287,0.1756906956,0.1770670414,0.1249348149,0.0000000000,0.0000000000,0.0316716172,0.3352008164,0.3510392010,0.3498396873,0.4004894793,0.0000000053,0.1720526665,0.0096067842,-0.2060946077,0.0174650587,0.0895589516,0.0015682667,0.1022033542,0.0895495191,0.0091605792
21:29:07:43.712,61,0.0000794575,0.1447330564,0.1738165170,0.0000000000,0.0000000000,0.3539105654,0.0822050795,0.0000801539,0.1455317140,0.0000000000,0.0346739218,0.0000000000,0.3498311639,0.0778326020,0.0465715975,0.0000000000,0.0619992241,0.1714865267,0.1927613765,0.1074832082,0.1990094781,0.0000000000,0.0960993543,0.1641028076,0.2789832354,0.0000000000,0.0000000000,0.0513046607,0.0560756251,0.1360424161,0.1640157998,0.0953951553,0.0623868443,0.1513396800,0.0949415267,0.0634743869,0.0550330356,0.1498607993,0.1894485652,0.0601366311,0.0820130855,0.1814699173,0.1829123944,0.1247498766,0.0000000000,0.0000000000,0.0315154567,0.3340342343,0.3510046601,0.3487385213,0.4015342593,0.0000000069,0.1699518859,0.0102771027,-0.2059922814,0.0210974310,0.0889201164,0.0018808047,0.1057622209,0.0889104977,0.0094103841
21:29:07:44.713,61,0.0001988387,0.1430081874,0.1714648008,0.0000000000,0.0000000000,0.3573225737,0.0743949339,0.0001998606,0.1437803805,0.0000000000,0.0323984958,0.0000000000,0.3533827364,0.0698803738,0.0465983376,0.0000000000,0.0623141304,0.1711658686,0.1922979951,0.1076314300,0.1985772550,0.0000000000,0.0965429768,0.1652623266,0.2808387280,0.0000000000,0.0000000000,0.0514220670,0.0562100299,0.1362780929,0.1644821018,0.0945123360,0.0621788055,0.1515052617,0.0952802747,0.0632685423,0.0549052544,0.1499099582,0.1893756986,0.0603720434,0.0824812204,0.1843097210,0.1858078241,0.1246012673,0.0000000000,0.0000000000,0.0313515812,0.3331773877,0.3511695266,0.3479295671,0.4025709629,0.0000000062,0.1679277569,0.0085976738,-0.2081716806,0.0197148249,0.0878475681,0.0017362540,0.1043410301,0.0878376663,0.0091717951
21:29:07:45.714,61,0.0002176930,0.1407273263,0.1628549993,0.0000000000,0.0000000000,0.3587909341,0.0723020136,0.0002187388,0.1414249986,0.0000000000,0.0239070933,0.0000000000,0.3549057841,0.0676124617,0.0466467179,0.0000000000,0.0625489950,0.1708790660,0.1919316798,0.1074775979,0.1986812204,0.0000000000,0.1068717092,0.1653905213,0.2818548977,0.0000000000,0.0000000000,0.0514543727,0.0563355535,0.1364222765,0.1650131941,0.0940411985,0.0620502904,0.1517629772,0.0955616906,0.0631415695,0.0548756905,0.1498294622,0.1892892122,0.0604084842,0.0828730017,0.1852952689,0.1868644059,0.1244489253,0.0000000000,0.0000000000,0.0314408243,0.3313202560,0.3521561325,0.3471162319,0.4039677083,0.0000000056,0.1666107625,0.0064999913,-0.2097081393,0.0145495450,0.0864007771,0.0012601845,0.0991138890,0.0863904655,0.0085696038
