Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:15:13:51.757,61,0.1337094456,0.4556588531,0.1587680429,0.0000000000,0.0000000000,0.0237894878,0.0000000000,0.1338080615,0.4577684999,0.0000000000,0.0341017358,0.0000000000,0.0237887837,0.0000000000,0.0132286130,0.0016257706,0.0000000000,0.0549950004,0.0630830303,0.0421760455,0.2565422058,0.0000000000,0.0175285526,0.0259264875,0.0584774800,0.0000000000,0.0000000000,0.0368338302,0.0385548919,0.1042052358,0.1020189077,0.0477692373,0.0157682337,0.1949052960,0.1193625331,0.0312821753,0.0318277329,0.0801453814,0.0798430368,0.0286816191,0.0343091935,0.0000000000,0.0000000000,0.2795276642,0.1920716614,0.1922746748,0.0222814474,0.0338394046,0.0392702371,0.0740483999,0.0811725557,0.0000005146,0.0480883345,0.0267346110,0.0195043776,0.0200222787,0.2796924710,0.0057503791,0.0932419449,0.2795931995,0.0267259199
11:15:13:52.757,61,0.1310438812,0.4529747367,0.1578203440,0.0000000000,0.0000000000,0.0237470213,0.0000000000,0.1311084628,0.4550552666,0.0000000000,0.0331886075,0.0000000000,0.0237462912,0.0000000000,0.0133069195,0.0019712197,0.0000000000,0.0553995967,0.0634603724,0.0424387492,0.2615844309,0.0000000000,0.0175945666,0.0254944433,0.0584290512,0.0000000000,0.0000000000,0.0368729085,0.0386124514,0.1042062566,0.1018866599,0.0478843488,0.0158774406,0.1953583062,0.1193116531,0.0313126072,0.0318828002,0.0802752078,0.0799475908,0.0286093131,0.0342424363,0.0000000000,0.0000000000,0.2804804146,0.1962102801,0.1964298934,0.0223481450,0.0338100679,0.0392133407,0.0739549994,0.0810746104,0.0000000063,0.0460633263,0.0299173053,0.0194908772,0.0194954071,0.2780316770,0.0055640563,0.0927289203,0.2779321373,0.0264130756
11:15:13:53.758,61,0.1302323490,0.4511231780,0.1576372087,0.0000000000,0.0000000000,0.0237605628,0.0000000000,0.1302862614,0.4531930685,0.0000000000,0.0330517404,0.0000000000,0.0237598382,0.0000000000,0.0133941071,0.0023465876,0.0000000000,0.0558674894,0.0639066249,0.0427283831,0.2660318613,0.0000000000,0.0174507760,0.0249030460,0.0580072738,0.0000000000,0.0000000000,0.0368977115,0.0386360250,0.1042103544,0.1017255411,0.0480240658,0.0160044190,0.1954437941,0.1190527081,0.0313147008,0.0318946838,0.0803906769,0.0800067633,0.0284865331,0.0340884477,0.0000000000,0.0000000000,0.2804656327,0.2058335394,0.2060928345,0.0224421527,0.0337875560,0.0391585790,0.0739266202,0.0810436308,0.0000000012,0.0450884327,0.0316825733,0.0196993537,0.0194212981,0.2768934965,0.0055190125,0.0926511362,0.2767937183,0.0262772106
11:15:13:54.758,61,0.1319420189,0.4508037567,0.1564454287,0.0000000000,0.0000000000,0.0238332078,0.0000000000,0.1319984198,0.4528481364,0.0000000000,0.0319264792,0.0000000000,0.0238324907,0.0000000000,0.0134893982,0.0027671556,0.0000000000,0.0562710464,0.0642908514,0.0431110002,0.2678468227,0.0000000000,0.0173515193,0.0244346615,0.0578254908,0.0000000000,0.0000000000,0.0369364806,0.0386869796,0.1041543484,0.1015040129,0.0482660867,0.0161370430,0.1957499385,0.1190036386,0.0313955843,0.0319920294,0.0805389509,0.0800997093,0.0284171794,0.0339968055,0.0000000000,0.0000000000,0.2803872824,0.2090333700,0.2093019336,0.0225724932,0.0338181593,0.0391757749,0.0740379468,0.0811571106,0.0000000011,0.0453712642,0.0323456638,0.0202675946,0.0187612213,0.2766790986,0.0053271172,0.0919559076,0.2765794694,0.0260594338
11:15:13:55.759,61,0.1322054714,0.4464172125,0.1523724645,0.0000000000,0.0000000000,0.0238856114,0.0000000000,0.1322622746,0.4483643770,0.0000000000,0.0279594325,0.0000000000,0.0238848943,0.0000000000,0.0136111220,0.0031523549,0.0000000000,0.0565721802,0.0644755736,0.0431903489,0.2682586610,0.0000000000,0.0173305571,0.0237781797,0.0574883297,0.0000000000,0.0000000000,0.0369299948,0.0386952013,0.1039511114,0.1011886075,0.0485895872,0.0163006596,0.1959699988,0.1189141124,0.0315169543,0.0321335495,0.0802638382,0.0797954947,0.0282101240,0.0337431990,0.0000000000,0.0000000000,0.2694272995,0.2072957754,0.2075103223,0.0227424223,0.0337996334,0.0391362570,0.0740250349,0.0811198875,0.0000000010,0.0452886596,0.0319796167,0.0212957133,0.0164427701,0.2739281952,0.0046200431,0.0896300822,0.2738281190,0.0251366533
11:15:13:56.760,61,0.1253921241,0.4440834522,0.1518398076,0.0000000000,0.0000000000,0.0237757713,0.0000000000,0.1254778951,0.4460119903,0.0000000000,0.0274426956,0.0000000000,0.0237750597,0.0000000000,0.0136120887,0.0034667396,0.0000000000,0.0563513935,0.0640173703,0.0418785959,0.2550275922,0.0000000000,0.0172433425,0.0230673831,0.0560423173,0.0000000000,0.0000000000,0.0366630144,0.0384239480,0.1015474647,0.0991590023,0.0484799147,0.0163385663,0.1939038485,0.1183958128,0.0314644910,0.0320879184,0.0738722831,0.0730291829,0.0277860612,0.0332130864,0.0000000000,0.0000000000,0.2308749259,0.2029925436,0.2031540722,0.0228062924,0.0334936716,0.0387565270,0.0736251026,0.0806405991,0.0000000011,0.0446011685,0.0328992717,0.0232643448,0.0161453784,0.2724896073,0.0045114425,0.0893524438,0.2723893225,0.0249206536
11:15:13:57.760,61,0.1235471740,0.4446783960,0.1524021626,0.0000000000,0.0000000000,0.0236520823,0.0000000000,0.1236409843,0.4466204345,0.0000000000,0.0279471166,0.0000000000,0.0236513745,0.0000000000,0.0135703878,0.0038206666,0.0000000000,0.0559327342,0.0629872680,0.0403099917,0.2496941090,0.0000000000,0.0171946362,0.0203219093,0.0523310229,0.0000000000,0.0000000000,0.0362440832,0.0380035751,0.0978941321,0.0961453319,0.0482471026,0.0163244978,0.1922960728,0.1177974939,0.0313698947,0.0319966897,0.0681201294,0.0672681555,0.0272520315,0.0325126797,0.0000000000,0.0000000000,0.2126889527,0.1892718524,0.1893971264,0.0228684563,0.0330858827,0.0382477269,0.0729505196,0.0792485178,0.0000000020,0.0442293026,0.0367974937,0.0271163676,0.0164404362,0.2728627324,0.0046004942,0.0896741748,0.2727623582,0.0250461083
11:15:13:58.761,61,0.1225886941,0.4438817203,0.1517055631,0.0000000000,0.0000000000,0.0235015023,0.0000000000,0.1226901785,0.4458074868,0.0000000000,0.0272160880,0.0000000000,0.0235007871,0.0000000000,0.0135081979,0.0040324684,0.0000000000,0.0554646254,0.0621236302,0.0393242575,0.2476269007,0.0000000000,0.0172593240,0.0164530557,0.0490249135,0.0000000000,0.0000000000,0.0357580371,0.0375109427,0.0944149494,0.0932317525,0.0479131155,0.0162760057,0.1915524900,0.1173747405,0.0313255042,0.0319612063,0.0643437132,0.0635504499,0.0267072469,0.0318380035,0.0000000000,0.0000000000,0.2011826187,0.1797382534,0.1798357069,0.0230092667,0.0326442905,0.0377102196,0.0722972676,0.0783768967,0.0000000023,0.0447954461,0.0405137539,0.0312387794,0.0160126165,0.2723641098,0.0044721831,0.0892765224,0.2722636461,0.0248874743
11:15:13:59.762,61,0.1231643483,0.4421615303,0.1502552480,0.0000000000,0.0000000000,0.0235147141,0.0000000000,0.1233128160,0.4440526664,0.0000000000,0.0257992931,0.0000000000,0.0235139877,0.0000000000,0.0134817427,0.0042903456,0.0000000000,0.0551932156,0.0615706034,0.0387284681,0.2482461333,0.0000000000,0.0172908977,0.0144811468,0.0472921990,0.0000000000,0.0000000000,0.0353414975,0.0370969996,0.0928717628,0.0918722227,0.0476752073,0.0162773654,0.1912377477,0.1170829087,0.0313289352,0.0319780372,0.0625237972,0.0617315546,0.0262025148,0.0312119275,0.0000000000,0.0000000000,0.1960093975,0.1730829775,0.1731666774,0.0231849980,0.0322619341,0.0372463167,0.0716113225,0.0775547102,0.0000000024,0.0464646183,0.0449093319,0.0359920338,0.0151835866,0.2712884545,0.0042230627,0.0884490460,0.2711877823,0.0245551504
11:15:14:00.763,61,0.1234408170,0.4409855604,0.1490383595,0.0000000000,0.0000000000,0.0235257726,0.0000000000,0.1236035749,0.4428488910,0.0000000000,0.0245796330,0.0000000000,0.0235250276,0.0000000000,0.0134552512,0.0045833215,0.0000000000,0.0549217053,0.0610578097,0.0381928384,0.2480282784,0.0000000000,0.0173326135,0.0118022254,0.0446830913,0.0000000000,0.0000000000,0.0348983295,0.0366578363,0.0919880122,0.0910690799,0.0473962799,0.0162470974,0.1909170002,0.1167281494,0.0312356334,0.0318988338,0.0612309054,0.0604319572,0.0256840810,0.0305778142,0.0000000000,0.0000000000,0.1930928379,0.1707056910,0.1707838178,0.0232483260,0.0318588987,0.0367562138,0.0708897039,0.0766036659,0.0000000025,0.0489899553,0.0474521555,0.0391930267,0.0144687425,0.2705500126,0.0040127500,0.0877503306,0.2704493105,0.0242920816
