Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
21:40:36:16.557,61,0.2149335891,0.5696639419,0.1012398005,0.0000000000,0.0000000000,0.0268228948,0.0000000000,0.2145206481,0.5705311894,0.0270300359,0.0000000000,0.0000000000,0.0268219952,0.0000000000,0.0199391767,0.0118105263,0.0000000000,0.0897984803,0.0599399023,0.0807657465,0.1436496973,0.0000000000,0.0034941507,0.1474151611,0.1727151722,0.0000000000,0.0000000000,0.0627070442,0.0691812783,0.1720190048,0.1710176617,0.0454119816,0.0200194176,0.1179981008,0.0867423788,0.0248374082,0.0231184550,0.2440727204,0.2424693406,0.0668085292,0.0758878067,0.2255972475,0.2249863893,0.2367760837,0.0000000000,0.0000000000,0.0183941424,0.0425877534,0.0498066917,0.1440500766,0.1486185640,0.0000000008,-0.0171119832,0.1185455173,0.1319089979,-0.0155189428,0.3485614955,-0.0056392848,0.0581326857,0.3486017585,0.0211129859
21:40:36:17.557,61,0.2103079557,0.5590901375,0.1053459719,0.0000000000,0.0000000000,0.0267251618,0.0000000000,0.2099731714,0.5600469708,0.0226822868,0.0000000000,0.0000000000,0.0267242156,0.0000000000,0.0200885627,0.0115962764,0.0000000000,0.0905734301,0.0598520488,0.0821368992,0.1422491223,0.0000000000,0.0035880746,0.1476384252,0.1728819609,0.0000000000,0.0000000000,0.0630754530,0.0696037784,0.1804513335,0.1796811223,0.0451938845,0.0199414324,0.1168056205,0.0863408223,0.0246266089,0.0229327194,0.2536986470,0.2516764104,0.0681874156,0.0775481686,0.2089407742,0.2083251625,0.2390363514,0.0000000000,0.0000000000,0.0182137974,0.0427402928,0.0499644727,0.1436796486,0.1479977369,0.0000000008,-0.0177515429,0.1215561107,0.1322082728,-0.0130527997,0.3421435952,-0.0046485960,0.0606307536,0.3421832025,0.0215798020
21:40:36:18.558,61,0.2050862461,0.5547268987,0.1092406958,0.0000000000,0.0000000000,0.0265181214,0.0000000000,0.2047434151,0.5557731390,0.0188094806,0.0000000000,0.0000000000,0.0265170988,0.0000000000,0.0201508924,0.0114233792,0.0000000000,0.0910305977,0.0594860762,0.0823654979,0.1381545514,0.0000000000,0.0036606365,0.1477517188,0.1729566008,0.0000000000,0.0000000000,0.0632125512,0.0697725341,0.1823292226,0.1816884577,0.0446790196,0.0198230799,0.1132963449,0.0855875686,0.0242573451,0.0226038881,0.2566664517,0.2544399798,0.0686526150,0.0780293643,0.1903234273,0.1897713542,0.2397336066,0.0000000000,0.0000000000,0.0179649591,0.0426146723,0.0497865491,0.1409130394,0.1449827701,0.0000000006,-0.0177425649,0.1247603297,0.1318017542,-0.0108341863,0.3395232856,-0.0038265472,0.0629313737,0.3395625651,0.0222118571
21:40:36:19.559,61,0.2033802718,0.5581073761,0.1098547503,0.0000000000,0.0000000000,0.0263344124,0.0000000000,0.2030383050,0.5591739416,0.0182252806,0.0000000000,0.0000000000,0.0263333153,0.0000000000,0.0202660672,0.0112075210,0.0000000000,0.0919204205,0.0593352802,0.0829636976,0.1369603574,0.0000000000,0.0039816992,0.1477278918,0.1731472313,0.0000000000,0.0000000000,0.0635696128,0.0702171102,0.1833869070,0.1829348952,0.0443715565,0.0197564140,0.1122484282,0.0852628425,0.0240032040,0.0223790929,0.2582344413,0.2560792565,0.0691042244,0.0785591751,0.1827872843,0.1822594851,0.2408947200,0.0000000000,0.0000000000,0.0178144723,0.0426026657,0.0497513264,0.1399655342,0.1439894140,0.0000000004,-0.0203128643,0.1264186502,0.1286650896,-0.0104899639,0.3415995240,-0.0037294908,0.0632387996,0.3416390717,0.0224678218
21:40:36:20.559,61,0.2028557658,0.5610734820,0.1105995104,0.0000000000,0.0000000000,0.0261100866,0.0000000000,0.2025128007,0.5621634722,0.0174456090,0.0000000000,0.0000000000,0.0261089914,0.0000000000,0.0202717632,0.0111437431,0.0000000000,0.0921195298,0.0592029616,0.0830509514,0.1366120130,0.0000000000,0.0042850189,0.1476176828,0.1732492000,0.0000000000,0.0000000000,0.0636919215,0.0703750402,0.1816454381,0.1809202135,0.0440738872,0.0197065584,0.1118534878,0.0850295871,0.0238434635,0.0222438127,0.2482208461,0.2480446696,0.0692095086,0.0787160695,0.1942679733,0.1937630922,0.2391134799,0.0000000000,0.0000000000,0.0177595336,0.0424910709,0.0496440269,0.1394018233,0.1434994042,0.0000000004,-0.0237856489,0.1269325763,0.1253812313,-0.0100346729,0.3434241116,-0.0035882646,0.0636263713,0.3434638977,0.0227360036
21:40:36:21.559,61,0.2026494443,0.5600102544,0.1113271341,0.0000000000,0.0000000000,0.0258725211,0.0000000000,0.2022975534,0.5611169934,0.0165914707,0.0000000000,0.0000000000,0.0258714687,0.0000000000,0.0200731754,0.0112714861,0.0000000000,0.0886494145,0.0586599708,0.0754479095,0.1338575184,0.0000000000,0.0041799387,0.1476023942,0.1730469912,0.0000000000,0.0000000000,0.0631860346,0.0693147853,0.1676822305,0.1617265940,0.0434506945,0.0196085516,0.1105213687,0.0835368484,0.0235972088,0.0220244695,0.2038432807,0.1993338317,0.0672514960,0.0753912255,0.2376115918,0.2370342761,0.2062616646,0.0000000000,0.0000000000,0.0176295377,0.0420354269,0.0491578653,0.1364006102,0.1413993388,0.0000000018,-0.0261521451,0.1276232302,0.1242237017,-0.0095455563,0.3427831531,-0.0034064704,0.0640597343,0.3428227305,0.0228443407
21:40:36:22.560,61,0.2035086602,0.5623052120,0.1105971709,0.0000000000,0.0000000000,0.0256195851,0.0000000000,0.2030376345,0.5633971691,0.0174318664,0.0000000000,0.0000000000,0.0256185848,0.0000000000,0.0199595746,0.0114993360,0.0000000000,0.0874542743,0.0579077415,0.0728354305,0.1309990138,0.0000000000,0.0037867161,0.1478361189,0.1730546057,0.0000000000,0.0000000000,0.0629102141,0.0688748807,0.1637956053,0.1564750373,0.0429997705,0.0195534509,0.1099415198,0.0828929469,0.0234190803,0.0218717773,0.1978210211,0.1926676929,0.0664398447,0.0742027536,0.2522275150,0.2515752316,0.1971559078,0.0000000000,0.0000000000,0.0174979568,0.0415610708,0.0486844666,0.1344622225,0.1400910169,0.0000000043,-0.0259246603,0.1305312812,0.1238147989,-0.0100240633,0.3441778123,-0.0035929938,0.0636078939,0.3442176580,0.0227834415
21:40:36:23.561,61,0.2045109570,0.5621576309,0.1129642576,0.0000000000,0.0000000000,0.0254032426,0.0000000000,0.2038463205,0.5633080602,0.0151179666,0.0000000000,0.0000000000,0.0254022982,0.0000000000,0.0199266504,0.0116245672,0.0000000000,0.0868057534,0.0572456867,0.0715086982,0.1296270788,0.0000000000,0.0030471613,0.1495627463,0.1731700152,0.0000000000,0.0000000000,0.0628774241,0.0687307045,0.1623821110,0.1543111801,0.0426888838,0.0195163898,0.1096576899,0.0825494379,0.0233135987,0.0217791870,0.2246186882,0.2162756324,0.0661442354,0.0736716166,0.2591812015,0.2584919631,0.1934849024,0.0000000000,0.0000000000,0.0173912048,0.0412119962,0.0483387336,0.1333871782,0.1392734498,0.0000000055,-0.0224147197,0.1340552121,0.1247379407,-0.0086936466,0.3441188335,-0.0031155618,0.0649711490,0.3441587090,0.0232665632
21:40:36:24.562,61,0.2050823271,0.5630108118,0.1163191721,0.0000000000,0.0000000000,0.0251486842,0.0000000000,0.2043359429,0.5642460585,0.0118199149,0.0000000000,0.0000000000,0.0251477994,0.0000000000,0.0199560598,0.0116845630,0.0000000000,0.0863911211,0.0566008277,0.0708111003,0.1285194308,0.0000000000,0.0016688004,0.1516974121,0.1733379960,0.0000000000,0.0000000000,0.0630471930,0.0688068345,0.1661319137,0.1566381752,0.0425100811,0.0194821730,0.1094700918,0.0823458731,0.0232196990,0.0216933191,0.2376937121,0.2289805561,0.0661963597,0.0735689178,0.2612020671,0.2604251802,0.2050898522,0.0000000000,0.0000000000,0.0172735341,0.0409216918,0.0480612330,0.1326578707,0.1386962980,0.0000000126,-0.0160020199,0.1374941021,0.1250618547,-0.0067956969,0.3446866274,-0.0024397587,0.0668878630,0.3447265923,0.0239944980
21:40:36:25.562,61,0.2054909468,0.5650686622,0.1188180819,0.0000000000,0.0000000000,0.0248464588,0.0000000000,0.2047043294,0.5663701892,0.0093748625,0.0000000000,0.0000000000,0.0248456374,0.0000000000,0.0199851394,0.0117929038,0.0000000000,0.0859698728,0.0559436865,0.0702007636,0.1267948896,0.0000000000,0.0002640947,0.1552585810,0.1737735718,0.0000000000,0.0000000000,0.0632143021,0.0688989237,0.1676363200,0.1575334519,0.0423638783,0.0194411241,0.1092784107,0.0821641088,0.0231073946,0.0215944946,0.2429124862,0.2338794470,0.0663045943,0.0735497475,0.2555500567,0.2546637952,0.2107974440,0.0000000000,0.0000000000,0.0171133149,0.0406103469,0.0477709807,0.1320807040,0.1382004768,0.0000000136,-0.0098986933,0.1410906464,0.1250338703,-0.0053874338,0.3459811509,-0.0019420545,0.0682936758,0.3460211158,0.0245975461
